"Total air emissions by greenhouse gas, sector and year"

"greenhouse gas","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Methane (CH4) (t)","ELECTRICITY AND DISTRICT HEATING, TOTAL",408.6,490.2,497.7,612.5,704.9,777.2,1045.3,875.2,949.7,945.0,912.6,1100.0,1176.2,1270.9,1318.9,1439.3,1469.3,1503.1,1653.8,1774.8,2007.6,1741.0,1778.2,1786.0,1616.7,1642.1,1775.0,1786.9,1784.6,1771.3,1580.2,1926.1,1848.9,1811.6
"Methane (CH4) (t)","INDUSTRY, TOTAL",6256.7,6842.3,6948.0,7019.8,7183.6,6674.9,6560.1,6429.4,6560.1,6385.1,6129.1,6630.5,6323.9,5618.6,6115.5,5799.9,5733.5,5857.2,5264.5,5354.4,5408.1,5047.9,5112.4,4802.7,4397.1,4195.2,4378.1,4144.2,4578.2,3893.2,3941.7,4159.0,3851.5,3656.4
"Methane (CH4) (t)","DOMESTIC TRANSPORT, TOTAL",6490.7,6778.9,6342.0,5558.3,5772.6,5315.2,5194.0,4709.5,4472.1,4159.9,3691.8,3456.3,3213.2,3004.6,2779.7,2605.6,2419.8,2237.9,2084.1,1953.2,1849.4,1656.1,1329.3,1258.9,1192.5,1191.6,1225.1,1193.0,1203.6,1578.0,1889.8,2121.4,1667.6,1325.5
"Methane (CH4) (t)","INTERNATIONAL TRANSPORT, TOTAL",32.8,31.3,30.7,33.7,38.0,46.0,42.1,46.4,53.9,54.4,50.9,48.0,40.7,50.4,59.1,61.0,66.7,65.5,72.9,73.0,68.9,63.2,60.5,58.7,61.1,52.8,60.6,66.4,406.2,473.8,483.7,534.5,417.1,747.3
"Methane (CH4) (t)","AGRICULTURE, TOTAL",140852.9,137297.1,142714.5,146727.5,149182.9,146519.9,148059.8,147855.6,145860.1,144406.5,142341.6,141546.9,139264.0,137569.5,139286.0,137963.4,137046.9,134658.9,135093.5,133187.3,133305.8,132375.9,130924.3,131699.1,131665.3,131223.0,131462.8,132736.8,132196.5,130511.9,129590.0,130080.7,130742.5,130662.0
"Methane (CH4) (t)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Methane (CH4) (t)","HEATING OF HOUSES AND PREMISES, TOTAL",4333.3,4432.6,4444.1,4473.9,4367.4,4617.0,4638.5,4323.3,4101.6,3688.1,3665.8,3419.5,3458.3,3499.3,3493.2,3437.0,3467.6,3204.0,3078.3,3107.2,3051.3,3079.5,2840.5,2805.4,2660.3,2518.5,2571.4,2490.2,2143.8,2180.0,2081.5,2157.9,1917.8,1889.1
"Methane (CH4) (t)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",21988.1,21824.0,21699.0,21607.6,21571.1,21454.1,21299.7,21556.4,20977.9,21069.0,20936.8,20835.7,20785.2,20694.2,20522.4,20440.7,20548.1,19931.9,20057.3,19228.9,19087.2,18777.4,18276.7,18307.3,19316.8,18074.2,18181.6,18187.7,20552.1,18582.8,18581.3,18731.5,19132.9,19121.2
"Nitrous Oxide (N2O) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",4692.2,4576.7,4429.6,4601.9,4622.4,4483.6,4491.3,4522.4,4566.2,4268.0,4205.9,4068.8,4007.8,3942.4,3948.7,3842.1,3788.1,3648.7,3772.1,3616.7,3751.1,3472.3,3416.4,3450.6,3542.2,3568.6,3534.0,3668.0,3451.8,3510.6,3562.1,3458.3,3493.6,3370.9
"Nitrous Oxide (N2O) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, including international transports)",4741.8,4627.3,4484.0,4657.7,4686.2,4548.5,4559.8,4602.2,4658.2,4361.1,4297.3,4157.6,4085.9,4039.5,4059.2,3956.9,3909.5,3770.3,3892.9,3739.1,3869.9,3578.7,3518.7,3549.4,3648.1,3681.7,3656.7,3806.5,3565.9,3640.3,3690.9,3582.2,3617.7,3474.7
